time,open,high,low,close,volume,ticker
2020-03-12,2800,2980,2800,2800,11120,SGT
2020-03-13,2610,2800,2600,2800,3620,SGT
2020-03-16,2990,2990,2890,2950,60,SGT
2020-03-17,2950,2950,2800,2810,6910,SGT
2020-03-18,3000,3000,2750,3000,70,SGT
2020-03-19,2800,2890,2800,2890,80,SGT
2020-03-20,2890,2890,2890,2890,10,SGT
2020-03-23,2750,2890,2690,2890,5550,SGT
2020-03-24,2690,2690,2690,2690,290,SGT
2020-03-25,2880,2880,2510,2750,436770,SGT
2020-03-26,2750,2750,2570,2730,340,SGT
2020-03-27,2550,2690,2550,2690,850,SGT
2020-03-30,2500,2640,2500,2500,10770,SGT
2020-03-31,2340,2670,2340,2340,3790,SGT
2020-04-01,2500,2500,2350,2350,3870,SGT
2020-04-03,2510,2510,2500,2510,1170,SGT
2020-04-06,2550,2550,2510,2510,4730,SGT
2020-04-07,2530,2540,2510,2510,520,SGT
2020-04-08,2360,2550,2340,2550,6780,SGT
2020-04-09,2510,2710,2410,2710,2390,SGT
2020-04-10,2640,2710,2640,2710,3440,SGT
2020-04-13,2710,2890,2530,2750,7040,SGT
2020-04-14,2580,2820,2570,2820,2030,SGT
2020-04-15,2690,2820,2670,2690,10390,SGT
2020-04-16,2530,2820,2520,2790,52390,SGT
2020-04-17,2750,2890,2750,2890,5910,SGT
2020-04-20,2820,3090,2820,3090,460880,SGT
2020-04-21,2890,3100,2890,3030,15020,SGT
2020-04-22,3170,3170,2930,2930,720,SGT
2020-04-23,3030,3030,2890,2890,2990,SGT
2020-04-24,2700,2890,2700,2890,4210,SGT
2020-04-27,3030,3030,2890,2890,880,SGT
2020-04-28,2890,2960,2890,2960,5220,SGT
2020-04-29,2820,2960,2820,2820,2200,SGT
2020-05-04,2820,2960,2750,2960,5700,SGT
2020-05-05,2960,3030,2750,3030,3510,SGT
2020-05-06,3030,3100,2960,3100,720,SGT
2020-05-07,2890,3090,2890,2890,6800,SGT
2020-05-08,2890,3030,2750,2750,4230,SGT
2020-05-11,2950,2950,2780,2950,3430,SGT
2020-05-12,2890,3030,2760,2760,6690,SGT
2020-05-13,2760,2950,2760,2890,9760,SGT
2020-05-14,2890,3020,2890,3020,10120,SGT
2020-05-15,3200,3220,2860,3130,6840,SGT
2020-05-18,2920,3130,2920,3130,800,SGT
2020-05-19,3130,3150,2920,3150,1650,SGT
