time,open,high,low,close,volume,ticker
2019-07-19,4040,4040,3930,4010,18790,ELC
2019-07-22,3980,4010,3890,4010,11540,ELC
2019-07-23,3920,4010,3920,4010,36930,ELC
2019-07-24,3860,4090,3810,4010,7990,ELC
2019-07-25,4010,4070,4010,4070,5510,ELC
2019-07-26,4040,4059,3860,4030,47320,ELC
2019-07-29,3810,4030,3810,3920,2520,ELC
2019-07-30,3920,3920,3800,3860,18720,ELC
2019-07-31,3860,3860,3770,3770,18610,ELC
2019-08-01,3770,3860,3770,3860,39470,ELC
2019-08-02,3770,3860,3690,3860,26150,ELC
2019-08-05,3770,3800,3740,3800,3530,ELC
2019-08-06,3800,3860,3800,3860,4830,ELC
2019-08-07,3800,3840,3640,3810,540,ELC
2019-08-08,3810,3810,3690,3810,9560,ELC
2019-08-09,3800,3830,3710,3810,5550,ELC
2019-08-12,3810,3810,3800,3810,8860,ELC
2019-08-13,3810,3830,3800,3800,5190,ELC
2019-08-14,3800,3800,3710,3800,8520,ELC
2019-08-15,3800,3800,3740,3800,11950,ELC
2019-08-16,3800,3800,3740,3800,18210,ELC
2019-08-19,3800,3800,3690,3800,1020,ELC
2019-08-20,3740,3800,3740,3800,390,ELC
2019-08-21,3800,3840,3800,3800,14150,ELC
2019-08-22,3690,3800,3690,3800,11370,ELC
2019-08-23,3800,3800,3700,3800,3600,ELC
2019-08-26,3690,3800,3690,3770,4300,ELC
2019-08-27,3700,3790,3700,3790,700,ELC
2019-08-28,3800,3800,3740,3740,11180,ELC
2019-08-29,3860,3860,3720,3860,1020,ELC
2019-08-30,3860,3860,3850,3850,1380,ELC
2019-09-03,3740,3830,3740,3800,12020,ELC
2019-09-04,3740,3800,3690,3740,12210,ELC
2019-09-05,3800,3800,3710,3740,15560,ELC
2019-09-06,3800,3800,3660,3690,3580,ELC
2019-09-09,3800,3800,3690,3790,3600,ELC
2019-09-10,3790,3790,3790,3790,120,ELC
2019-09-11,3690,3740,3690,3740,1010,ELC
2019-09-12,3690,3800,3690,3800,760,ELC
2019-09-13,3790,3790,3580,3770,60960,ELC
2019-09-16,3790,3790,3530,3760,8280,ELC
2019-09-17,3690,3740,3690,3710,11040,ELC
2019-09-18,3800,3800,3580,3740,5220,ELC
2019-09-19,3690,3690,3580,3690,2330,ELC
2019-09-20,3690,3690,3630,3690,16620,ELC
2019-09-23,3850,3850,3740,3790,5030,ELC
2019-09-24,3790,3790,3600,3660,13570,ELC
2019-09-25,3800,3800,3650,3660,26620,ELC
2019-09-26,3570,3790,3570,3660,4030,ELC
2019-09-27,3630,3660,3630,3660,22070,ELC
2019-09-30,3740,3740,3600,3660,8280,ELC
2019-10-01,3710,3710,3410,3630,160250,ELC
2019-10-02,3510,3510,3400,3460,22130,ELC
2019-10-03,3670,3670,3420,3450,14200,ELC
2019-10-04,3510,3610,3280,3420,40610,ELC
2019-10-07,3310,3420,3310,3340,4630,ELC
2019-10-08,3510,3510,3320,3340,12500,ELC
2019-10-09,3340,3340,3340,3340,20300,ELC
2019-10-10,3390,3510,3340,3510,58400,ELC
2019-10-11,3410,3510,3410,3510,2890,ELC
2019-10-14,3500,3680,3500,3540,1670,ELC
2019-10-15,3570,3570,3310,3540,2420,ELC
2019-10-16,3410,3570,3410,3540,6030,ELC
2019-10-17,3510,3540,3510,3540,2630,ELC
2019-10-18,3560,3560,3450,3540,1040,ELC
2019-10-21,3570,3570,3510,3540,9670,ELC
2019-10-22,3510,3510,3340,3510,5760,ELC
2019-10-23,3570,3570,3370,3510,3740,ELC
2019-10-24,3510,3540,3390,3510,5890,ELC
2019-10-25,3530,3530,3400,3480,11420,ELC
2019-10-28,3390,3510,3360,3480,16670,ELC
2019-10-29,3480,3480,3390,3450,3110,ELC
2019-10-30,3450,3450,3390,3450,9190,ELC
2019-10-31,3410,3450,3390,3450,3970,ELC
2019-11-01,3510,3510,3390,3390,12010,ELC
2019-11-04,3450,3450,3360,3390,16670,ELC
2019-11-05,3420,3420,3360,3390,35820,ELC
2019-11-06,3390,3480,3390,3390,4930,ELC
2019-11-07,3340,3420,3340,3390,4030,ELC
2019-11-08,3390,3400,3380,3390,14490,ELC
2019-11-11,3400,3410,3340,3400,10270,ELC
2019-11-12,3340,3410,3340,3410,10460,ELC
2019-11-13,3410,3420,3290,3410,10900,ELC
2019-11-14,3410,3410,3340,3390,21470,ELC
2019-11-15,3390,3390,3280,3390,5100,ELC
2019-11-18,3400,3400,3340,3340,18870,ELC
2019-11-19,3340,3390,3340,3340,8710,ELC
2019-11-20,3310,3360,3300,3360,240,ELC
2019-11-21,3390,3390,3360,3360,4300,ELC
2019-11-22,3360,3430,3360,3380,2110,ELC
2019-11-25,3390,3390,3220,3220,26540,ELC
2019-11-26,3390,3390,3220,3320,4720,ELC
2019-11-27,3360,3360,3320,3320,14260,ELC
2019-11-28,3310,3320,3280,3300,12510,ELC
2019-11-29,3310,3310,3160,3310,27110,ELC
2019-12-02,3310,3310,3090,3230,24860,ELC
2019-12-03,3160,3240,3160,3240,19020,ELC
2019-12-04,3250,3250,3250,3250,2500,ELC
2019-12-05,3220,3250,3190,3250,21900,ELC
2019-12-06,3280,3330,3260,3330,7030,ELC
2019-12-09,3330,3340,3280,3330,1610,ELC
2019-12-10,3220,3340,3170,3330,4830,ELC
2019-12-11,3310,3310,3160,3220,4040,ELC
2019-12-12,3230,3280,3220,3280,2040,ELC
2019-12-13,3280,3410,3280,3410,61960,ELC
2019-12-16,3410,3440,3280,3430,25670,ELC
2019-12-17,3430,3440,3430,3440,3540,ELC
2019-12-18,3420,3440,3390,3390,3320,ELC
2019-12-19,3420,3420,3390,3390,4370,ELC
2019-12-20,3390,3400,3390,3400,3400,ELC
2019-12-23,3400,3450,3280,3420,5620,ELC
2019-12-24,3420,3510,3420,3510,140,ELC
2019-12-25,3450,3510,3340,3340,1340,ELC
2019-12-26,3340,3450,3340,3450,13200,ELC
2019-12-27,3450,3450,3360,3450,15320,ELC
2019-12-30,3450,3460,3390,3450,24920,ELC
2019-12-31,3510,3510,3450,3500,2330,ELC
2020-01-02,3500,3630,3500,3630,48770,ELC
2020-01-03,3570,3710,3570,3710,55100,ELC
2020-01-06,3650,3740,3650,3740,27210,ELC
2020-01-07,3740,3800,3710,3800,15430,ELC
2020-01-08,3710,4040,3710,3800,50230,ELC
2020-01-09,3920,3970,3740,3970,20760,ELC
2020-01-10,4030,4030,3860,4030,12800,ELC
2020-01-13,4030,4030,3930,3930,65420,ELC
2020-01-14,3930,3990,3930,3990,23570,ELC
2020-01-15,3990,3990,3980,3990,14200,ELC
2020-01-16,3920,3990,3920,3990,22820,ELC
2020-01-17,3940,3960,3930,3930,41900,ELC
2020-01-20,3740,3970,3740,3960,5320,ELC
2020-01-21,3960,3960,3920,3960,47820,ELC
2020-01-22,3950,3960,3930,3940,46290,ELC
2020-01-30,4040,4040,3920,3960,18090,ELC
2020-01-31,3960,3960,3890,3960,21700,ELC
2020-02-03,3920,3980,3890,3980,2590,ELC
2020-02-04,3980,3990,3740,3960,13820,ELC
2020-02-05,3940,3940,3800,3920,3440,ELC
2020-02-06,3800,3920,3710,3800,23660,ELC
2020-02-07,3860,3860,3740,3840,6280,ELC
2020-02-10,3740,3800,3570,3800,5100,ELC
2020-02-11,3800,4040,3800,3880,51720,ELC
2020-02-12,3810,3980,3810,3940,96790,ELC
2020-02-13,3980,3980,3940,3940,33170,ELC
2020-02-14,4000,4210,3930,4210,778790,ELC
2020-02-17,4510,4510,4450,4510,858500,ELC
2020-02-18,4600,4800,4450,4450,155030,ELC
2020-02-19,4300,4360,4190,4210,459310,ELC
2020-02-20,4210,4390,4080,4090,601000,ELC
2020-02-21,4070,4270,4040,4080,263990,ELC
2020-02-24,3920,4030,3800,3800,180370,ELC
2020-02-25,3620,3680,3540,3570,498280,ELC
2020-02-26,3420,3690,3340,3510,155920,ELC
2020-02-27,3510,3630,3470,3630,109630,ELC
2020-02-28,3520,3550,3440,3450,108190,ELC
2020-03-02,3450,3450,3380,3380,46730,ELC
2020-03-03,3380,3450,3380,3400,70000,ELC
2020-03-04,3400,3600,3390,3600,122850,ELC
2020-03-05,3630,3740,3460,3600,145100,ELC
2020-03-06,3600,3600,3450,3460,61850,ELC
2020-03-09,3220,3350,3220,3220,220020,ELC
2020-03-10,3220,3330,3220,3250,73910,ELC
2020-03-11,3250,3340,3110,3120,33560,ELC
2020-03-12,2960,3100,2900,2900,194400,ELC
